Or	New
COO2_untreated_10K_S2_10A_S1_L001_R1_001	C002-rep1_4f10K_S2
COO2_untreated_10K_S2_10A_S1_L002_R1_001	C002-rep1_4f10K_S2
COO2_untreated_10K_S3_10B_S2_L001_R1_001	C002-rep1_4f10K_S3
COO2_untreated_10K_S3_10B_S2_L002_R1_001	C002-rep1_4f10K_S3
COO2_untreated_10K_S4_10C_S3_L001_R1_001	C002-rep1_4f10K_S4
COO2_untreated_10K_S4_10C_S3_L002_R1_001	C002-rep1_4f10K_S4
COO2_untreated_3M_4F_S2L_12B_S17_L001_R1_001	C002-rep1_4f_S2L
COO2_untreated_3M_4F_S2L_12B_S17_L002_R1_001	C002-rep1_4f_S2L
COO2_untreated_3M_4F_S2S_12A_S16_L001_R1_001	C002-rep1_4f_S2S
COO2_untreated_3M_4F_S2S_12A_S16_L002_R1_001	C002-rep1_4f_S2S
COO2_untreated_3M_4F_S3_11A_S8_L001_R1_001	C002-rep1_4f_S3
COO2_untreated_3M_4F_S3_11A_S8_L002_R1_001	C002-rep1_4f_S3
COO2_untreated_3M_4F_S4_11B_S9_L001_R1_001	C002-rep1_4f_S4
COO2_untreated_3M_4F_S4_11B_S9_L002_R1_001	C002-rep1_4f_S4
COO4_untreated_10K_S2_2E_S36_L001_R1_001	C004-rep2_4f10K_S2
COO4_untreated_10K_S2_2E_S36_L002_R1_001	C004-rep2_4f10K_S2
COO4_untreated_10K_S3_2F_S37_L001_R1_001	C004-rep2_4f10K_S3
COO4_untreated_10K_S3_2F_S37_L002_R1_001	C004-rep2_4f10K_S3
COO4_untreated_10K_S4_2G_S38_L001_R1_001	C004-rep2_4f10K_S4
COO4_untreated_10K_S4_2G_S38_L002_R1_001	C004-rep2_4f10K_S4
S30307_10KF_S2S_S25_L001_R1_001	C004-rep1_4f10K_S2S
S30307_10KF_S2S_S25_L002_R1_001	C004-rep1_4f10K_S2S
S30308_10KF_S2L_S26_L001_R1_001	C004-rep1_4f10K_S2L
S30308_10KF_S2L_S26_L002_R1_001	C004-rep1_4f10K_S2L
S30309_10KF_S3_S27_L001_R1_001	C004-rep1_4f10K_S3
S30309_10KF_S3_S27_L002_R1_001	C004-rep1_4f10K_S3
S30310_10KF_S4_S28_L001_R1_001	C004-rep1_4f10K_S4
S30310_10KF_S4_S28_L002_R1_001	C004-rep1_4f10K_S4
S29718_3M_fibro_S2S_S9_L001_R1_001	C004-rep1_4f_S2S
S29718_3M_fibro_S2S_S9_L002_R1_001	C004-rep1_4f_S2S
S29719_3M_fibro_S2L_S10_L001_R1_001	C004-rep1_4f_S2L
S29719_3M_fibro_S2L_S10_L002_R1_001	C004-rep1_4f_S2L
S29720_3M_fibro_S3_S11_L001_R1_001	C004-rep1_4f_S3
S29720_3M_fibro_S3_S11_L002_R1_001	C004-rep1_4f_S3
S29721_3M_fibro_S4_S12_L001_R1_001	C004-rep1_4f_S4
S29721_3M_fibro_S4_S12_L002_R1_001	C004-rep1_4f_S4
4f_S2L_L001_R1_001	C004-rep2_4f_S2L
4f_S2L_L002_R1_001	C004-rep2_4f_S2L
4f_S2S_L001_R1_001	C004-rep2_4f_S2S
4f_S2S_L002_R1_001	C004-rep2_4f_S2S
4f_S2S_L003_R1_001	C004-rep2_4f_S2S
4f_S2S_L004_R1_001	C004-rep2_4f_S2S
4f_S3_L001_R1_001	C004-rep2_4f_S3
4f_S3_L002_R1_001	C004-rep2_4f_S3
4f_S3_L003_R1_001	C004-rep2_4f_S3
4f_S3_L004_R1_001	C004-rep2_4f_S3
4f_S4_L001_R1_001	C004-rep2_4f_S4
4f_S4_L002_R1_001	C004-rep2_4f_S4
COO2_rep1_3M_4F_S2L_B12_S4_L001_R1_001	C002-rep1_4f_S2L
COO2_rep1_3M_4F_S2L_B12_S4_L002_R1_001	C002-rep1_4f_S2L
COO2_rep1_3M_4F_S2S_A12_S3_L001_R1_001	C002-rep1_4f_S2S
COO2_rep1_3M_4F_S2S_A12_S3_L002_R1_001	C002-rep1_4f_S2S
COO2_rep1_3M_4F_S3_A11_S1_L001_R1_001	C002-rep1_4f_S3
COO2_rep1_3M_4F_S3_A11_S1_L002_R1_001	C002-rep1_4f_S3
COO2_rep1_3M_4F_S4_B11_S2_L001_R1_001	C002-rep1_4f_S4
COO2_rep1_3M_4F_S4_B11_S2_L002_R1_001	C002-rep1_4f_S4
COO4_rep2_4F_S2L_B10_S6_L001_R1_001	C004-rep2_4f_S2L
COO4_rep2_4F_S2L_B10_S6_L002_R1_001	C004-rep2_4f_S2L
COO4_rep2_4F_S2S_A10_S5_L001_R1_001	C004-rep2_4f_S2S
COO4_rep2_4F_S2S_A10_S5_L002_R1_001	C004-rep2_4f_S2S
C004_rep2_4F_S3_C10_S7_L001_R1_001	C004-rep2_4f_S3
C004_rep2_4F_S3_C10_S7_L002_R1_001	C004-rep2_4f_S3
C004_rep2_4F_S4_D10_S8_L001_R1_001	C004-rep2_4f_S4
C004_rep2_4F_S4_D10_S8_L002_R1_001	C004-rep2_4f_S4